Country,latitude,longitude,MPASKM,PASKM%,Type
Australia,-25.2744,133.7751,281437,87.57686,Cars
Australia,-25.2744,133.7751,22109,6.879823,Buses
Australia,-25.2744,133.7751,17814,5.543316,Rail
Czechia,49.81749,15.47296,81179,79.0779,Cars
Czechia,49.81749,15.47296,10931,10.64808,Rail
Czechia,49.81749,15.47296,10547,10.27402,Buses
Finland,61.92411,25.74815,66800,83.8943,Cars
Finland,61.92411,25.74815,7900,9.921632,Buses
Finland,61.92411,25.74815,4924,6.184065,Rail
France,46.22764,2.213749,845385,82.99064,Cars
France,46.22764,2.213749,112309,11.02527,Rail
France,46.22764,2.213749,60957,5.984091,Buses
Germany,51.16569,10.45153,902600,83.3058,Cars
Germany,51.16569,10.45153,102026,9.416527,Rail
Germany,51.16569,10.45153,78852,7.277674,Buses
Hungary,47.16249,19.5033,67034,71.68798,Cars
Hungary,47.16249,19.5033,18722,20.02182,Buses
Hungary,47.16249,19.5033,7752,8.2902,Rail
Italy,41.87194,12.56738,732429,81.99065,Cars
Italy,41.87194,12.56738,104293,11.67492,Buses
Italy,41.87194,12.56738,56586,6.334433,Rail
Japan,36.20482,138.2529,844042,62.96913,Cars
Japan,36.20482,138.2529,435063,32.45755,Rail
Japan,36.20482,138.2529,61301,4.573316,Buses
South Korea,35.90776,127.7669,289099,59.20059,Cars
South Korea,35.90776,127.7669,100381,20.55564,Rail
South Korea,35.90776,127.7669,98858,20.24377,Buses
New Zealand,-40.9006,174.886,50335,96.28149,Cars
New Zealand,-40.9006,174.886,1171,2.239905,Buses
New Zealand,-40.9006,174.886,773,1.478605,Rail
Norway,60.47202,8.468946,55924,84.27874,Cars
Norway,60.47202,8.468946,6717,10.12267,Buses
Norway,60.47202,8.468946,3715,5.598589,Rail
Poland,51.91944,19.14514,232255,79.93715,Cars
Poland,51.91944,19.14514,36236,12.47165,Buses
Poland,51.91944,19.14514,22056,7.591199,Rail
Slovakia,48.66903,19.69902,28616,73.57055,Cars
Slovakia,48.66903,19.69902,6187,15.90652,Buses
Slovakia,48.66903,19.69902,4093,10.52293,Rail
Spain,40.46367,-3.74922,342005,84.63585,Cars
Spain,40.46367,-3.74922,33250,8.228365,Buses
Spain,40.46367,-3.74922,28835,7.135787,Rail
Sweden,60.12816,18.6435,95621,78.9545,Cars
Sweden,60.12816,18.6435,14617,12.06929,Rail
Sweden,60.12816,18.6435,10871,8.976212,Buses
Switzerland,46.81819,8.227512,97852,76.86543,Cars
Switzerland,46.81819,8.227512,21737,17.07501,Rail
Switzerland,46.81819,8.227512,7714,6.059559,Buses
United Kingdom,55.37805,-3.43597,737555,87.68381,Cars
United Kingdom,55.37805,-3.43597,70959,8.435921,Rail
United Kingdom,55.37805,-3.43597,32639,3.880269,Buses
United States of America,37.09024,-95.7129,6060622,90.35973,Cars
United States of America,37.09024,-95.7129,613443,9.146015,Buses
United States of America,37.09024,-95.7129,33151,0.494259,Rail
Azerbaijan,40.14311,47.57693,24400,92.09632,Buses
Azerbaijan,40.14311,47.57693,1550,5.850381,Cars
Azerbaijan,40.14311,47.57693,544,2.053295,Rail
Croatia,45.1,15.2,25372,84.21402,Cars
Croatia,45.1,15.2,4022,13.34971,Buses
Croatia,45.1,15.2,734,2.436272,Rail
Kazakhstan,41.20438,74.7661,181376,65.17728,Buses
Kazakhstan,41.20438,74.7661,79205,28.46224,Cars
Kazakhstan,41.20438,74.7661,17700,6.360477,Rail
North Macedonia,41.60864,21.74528,9703,82.27762,Cars
North Macedonia,41.60864,21.74528,2028,17.19664,Buses
North Macedonia,41.60864,21.74528,62,0.525736,Rail
